Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,52,90.21577020887541,50
55,158,90.38353329777043,16
54,67,105.71301908003551,10
53,32,61.1541357453367,3
52,27,96.7981802144717,1
51,125,97.23500934137262,2
50,78,101.97009092757877,54
49,132,116.10616964970633,97
48,149,114.0555722938858,94
47,227,102.9975880038311,19
46,170,85.38674893845935,25
45,44,157.801498147596,4
44,1342,,
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,89.18726791708023,4
36,28,,
35,3,,
34,13,119.15459741998795,9
33,14,98.97989434847666,13
32,14,56.292740816714364,3
31,54,95.37219132963116,25
30,7,68.78844029827783,5
29,9,145.94782410677254,2
28,4,,
27,13,66.44745622650979,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
