Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,49,82.26858468945817,48
55,161,82.80791602073565,17
54,65,112.69208553227166,9
53,35,71.4885715696197,5
52,25,222.42444266511603,1
51,125,163.94610288619475,2
50,75,96.56879602552156,51
49,135,107.268199111965,97
48,154,116.03449603874515,99
47,223,118.69605117282126,20
46,172,120.84794643696976,28
45,40,134.34179979684984,3
44,1344,157.5348035854608,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,5,108.31654444308312,2
36,30,,
35,2,,
34,12,93.79528779330002,7
33,16,99.48070550460854,13
32,14,47.15020414327763,3
31,54,79.54961337466534,25
30,6,32.6437277620572,4
29,10,143.71298593924007,2
28,4,,
27,13,82.59691973067504,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
