Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,47,86.48826086956522,46
55,167,81.46489595687332,21
54,62,87.00706636706691,10
53,34,64.84226259518508,5
52,25,106.1737922009899,1
51,125,97.0,2
50,78,107.96683353426512,54
49,131,107.79687832237228,96
48,153,111.8277911920767,97
47,223,110.7439089155969,18
46,171,114.12670263897044,25
45,44,139.535,4
44,1343,219.93038173344152,1
43,11,,
42,675,,
41,4,,
39,3,74.15391507826159,2
38,2,,
37,7,91.906,4
36,28,,
35,3,,
34,13,98.6026887239137,9
33,14,131.88178022918288,13
32,14,49.39743733343456,3
31,51,68.42321793787261,22
30,10,37.35135139582716,5
29,8,79.67716678777072,1
28,5,,
27,13,67.84591466263124,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
