Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,52,99.73816326530613,49
55,162,101.39612631578947,19
54,64,146.10000000000002,10
53,33,62.00000000000004,4
52,26,92.69999999999999,1
51,125,102.50000000000003,2
50,75,142.91441180392158,51
49,134,130.644725,96
48,154,146.2620918367347,98
47,222,145.86633333333333,18
46,172,126.48923076923077,26
45,43,109.46500000000003,4
44,1343,274.0,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,7,115.08100000000003,4
36,28,,
35,2,,
34,13,112.645,8
33,17,137.28133333333335,15
32,12,119.89433333333335,3
31,54,115.76400000000001,25
30,6,130.83499999999998,4
29,9,3.000000000000014,1
28,5,,
27,13,155.00000000000006,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
