Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,53,92.09627450980392,51
55,156,94.73186666666668,15
54,68,102.32256,10
53,33,61.87379999999999,4
52,25,,
51,126,105.58688000000002,2
50,76,100.53623987538464,52
49,140,110.83568684038835,103
48,147,120.37435053877552,98
47,223,84.06277682105262,19
46,168,107.40706541565216,23
45,45,112.56261907626663,3
44,1344,146.68411839999993,1
43,11,,
42,675,,
41,4,,
40,1,,
39,1,,
38,3,,
37,7,87.44331625113601,4
36,28,,
35,3,,
34,12,144.79269109568,8
33,17,93.64324559360001,15
32,10,45.148000000000025,1
31,56,87.39233666169898,25
30,6,61.464788907392034,4
29,8,,
28,6,,
27,13,9.53120000000007,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
