Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,49,93.46854166666667,48
55,164,103.50928000000002,20
54,63,108.90520000000001,10
53,34,52.77321600000001,5
52,25,162.12400000000002,1
51,125,97.0,2
50,78,100.55555389481484,54
49,132,107.52383125360825,97
48,143,122.42833277909091,88
47,233,102.37382394526315,19
46,170,93.49262432601599,25
45,44,158.57261918720002,4
44,1343,170.45184127999994,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,87.59934296934398,4
36,28,,
35,2,,
34,13,155.15276007999998,8
33,16,109.47505995885714,14
32,13,36.77843968167259,3
31,56,85.1749700400348,27
30,5,,
29,8,50.186400000000056,1
28,5,,
27,13,11.26336000000012,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
