Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,51,100.5596046107372,50
55,161,149.55413477620354,19
54,63,203.71812540502683,9
53,35,106.53842436267335,5
52,25,334.235424171643,1
51,125,124.85906638194757,2
50,74,242.14922468809849,50
49,135,174.4095061341724,96
48,152,160.82028342584266,96
47,225,104.20039346417809,19
46,170,108.04357265937331,25
45,43,123.69243636842697,3
44,1344,289.6211839741975,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,95.89213030543398,3
36,29,,
35,2,,
34,13,133.05936925586383,8
33,16,120.23687607724212,14
32,13,116.99929898072088,3
31,54,92.48878721117836,25
30,7,65.04819474997814,5
29,9,279.2352783682641,2
28,4,,
27,13,176.26580889538724,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
