Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,53,85.36386812857235,52
55,160,83.3897393834236,20
54,63,109.36115027460471,10
53,34,65.76456310803079,5
52,25,202.84357252933708,1
51,125,141.7315267107831,2
50,74,97.18867329356496,50
49,135,113.64698696701673,96
48,152,111.51344210404935,96
47,224,114.65269028474728,18
46,174,118.7670636012095,28
45,41,132.10372267212063,4
44,1342,,
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,6,114.02390116355919,3
36,29,,
35,2,,
34,14,112.87727479715653,9
33,13,107.5509650960245,12
32,15,47.68881101093297,3
31,50,85.14660354219389,21
30,11,80.56949900954106,5
29,9,140.83300018883438,2
28,4,,
27,13,67.59303199412287,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
