Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,50,90.12736780451812,48
55,164,1137.282490114665,20
54,63,7765.994147069473,10
53,33,1090.8964565005153,4
52,26,351.0919151201844,1
51,124,3953.3989265188575,1
50,78,373531047389.18787,53
49,133,7772.7397225658315,97
48,151,379388.0762681592,96
47,223,822100.5673669992,17
46,175,534644.0963557698,28
45,41,134311.56055967745,4
44,1343,41939.22158959241,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,31678.374813650837,3
36,29,,
35,2,,
34,13,95268.91063797698,8
33,16,38280.56875195248,14
32,13,41263.15212012108,3
31,52,67384.44882110828,23
30,8,45301.40925946663,4
29,10,120643.44750601587,2
28,4,,
27,13,98036.85809675642,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
