Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,49,82.99038683687398,48
55,163,130.51511508702282,19
54,65,150.78310353968888,11
53,33,142.53024755313547,5
52,25,278.48152270633483,1
51,125,162.08072407198955,2
50,76,147.97096384043454,52
49,135,144.96191741790298,98
48,149,151.63239881037615,95
47,225,99.682342219741,18
46,170,102.91569615397685,24
45,44,115.343760120687,3
44,1344,391.80443875363477,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,119.9569148775715,4
36,28,,
35,3,,
34,12,193.3989103912263,8
33,17,137.50395583851008,15
32,12,69.93776504642072,3
31,51,105.73285265287497,22
30,9,166.47357687524493,4
29,10,143.6966236536532,2
28,4,,
27,13,100.02342193804839,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
