Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,51,108.01280000000001,50
55,161,128.19823157894737,19
54,63,208.77888888888887,9
53,34,93.25000000000001,4
52,26,103.70000000000003,1
51,125,97.0,2
50,77,150.59250947169812,53
49,137,138.35774257425743,101
48,140,137.2281573033708,89
47,232,126.91015789473684,19
46,171,92.98657692307694,26
45,43,119.28499999999998,4
44,1343,177.99999999999994,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,122.8935,4
36,28,,
35,3,,
34,12,119.5925,8
33,15,178.10115384615386,13
32,12,93.4,1
31,55,126.47416666666666,24
30,8,127.7,5
29,9,58.484999999999985,2
28,4,,
27,13,35.49999999999997,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
