Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,52,105.10802025502143,50
55,162,128.94213297193167,20
54,63,132.31616120243862,10
53,34,178.86845091406641,5
52,25,207.57539558827742,1
51,125,109.59502917037196,2
50,74,168.81220081167854,50
49,136,145.24407838513412,97
48,152,141.55406802199496,97
47,222,96.22176255394677,17
46,171,115.28813457913424,24
45,45,158.0093892456938,4
44,1343,268.2683667411538,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,95.479177236879,2
36,30,,
35,1,,
34,14,181.7543226474617,8
33,17,148.03935211487726,15
32,12,131.42684748955097,3
31,55,120.52207299378284,26
30,5,96.42718956427025,4
29,10,215.55564776962564,2
28,4,,
27,13,124.82577556841392,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
