Iteration,SampleCount,P_ESI,P_ESI_Weight
58,68,0.07171239961608407,66
57,166,0.17034198570806114,161
56,93,0.08327924984893699,75
55,51,0.07025987479889076,45
54,34,0.041115634467427775,28
53,143,4.898425334386489,140
52,143,3987478.086124497,131
51,212,0.19606211389440376,198
50,195,0.7129446808834353,176
49,264,0.08259616113032683,238
48,194,0.0996671523901539,166
47,67,0.22891130039191487,46
46,1233,0.419112271407755,1230
45,154,0.20738857372370198,9
44,615,0.05476409651186938,612
43,69,380.00014732516956,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,,
38.0,32.0,,
37,3,,
36,17,,
35,22,,
34,14,,
33,62,,
32,7,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
