Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,49,,
55,147,0.0650154728637289,140
54,75,0.03224434672219036,57
53,35,0.0473087297187496,29
52,26,0.03424700922721681,22
51,113,0.02239638477419864,110
50,92,0.749244157682662,77
49,133,0.1493336738781383,128
48,144,0.06364617382938637,130
47,216,0.08325940965434202,197
46,169,0.03221643154090013,151
45,59,0.06381774590622608,39
44,1214,0.02199126902540475,1212
43,140,0.033015559184862854,9
42,604,0.016456231331702056,602
41,77,0.06179739827792938,4
40,1,,
39,2,,
38,2,0.014454526246254158,1
37,7,0.024467457300612425,5
36,28,,
35,3,,
34,10,,
33,17,0.10552606521039727,14
32,12,0.03931688328109859,8
31,57,0.06475713832947584,26
30,6,0.12707823045098737,5
29,9,,
28,4,,
27,11,,
26,7,0.19055824032599852,5
25,64,0.08832339186606372,63
24,4,,
23,3,,
19,1,,
16,1,,
