Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,53,,
55,144,0.07914059947567435,141
54,74,0.07474935907894792,57
53,36,0.047992586196057375,30
52,25,0.08336521568936249,22
51,116,0.06661500290109844,113
50,86,0.38679183379289817,74
49,137,0.10747632382024547,129
48,150,0.05516670975730554,137
47,210,0.04353693418893162,198
46,165,0.04420667532982033,148
45,61,0.09382360619473545,38
44,1202,0.037999882029142895,1199
43,153,0.03801002832466634,9
42,606,0.034998086265430585,604
41,75,0.16673784437871708,4
40,1,,
39,2,,
38,2,0.02188281635529723,1
37,7,0.1479001012137202,5
36,28,,
35,3,,
34,11,,
33,17,0.1362336045794906,15
32,13,0.10150228957878023,10
31,52,0.06305230881121156,23
30,9,0.0903493535311417,5
29,9,,
28,4,,
27,13,,
26,5,,
25,61,0.13105030311901802,60
24,7,,
23,3,,
19,1,,
16,1,,
