Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,49,,
55,151,0.06767253231270312,144
54,70,0.03830165005109308,56
53,36,0.037383697392603665,29
52,29,0.033277238412102124,25
51,108,,
50,90,0.5253697989153324,73
49,140,0.13439310335106813,131
48,144,0.060581624673931606,133
47,211,0.07037060082247151,195
46,175,0.03203034163499546,155
45,51,0.07214507328479498,35
44,1202,0.021398131908541687,1196
43,158,0.032686588940550244,11
42,616,,
41,62,0.07652874748627059,3
40,2,0.004457799739532538,1
39,2,,
38,2,0.010315728625589438,1
37,7,0.0171382293125436,5
36,28,,
35,3,,
34,11,,
33,17,0.09112606913864582,15
32,12,0.051394612270846025,9
31,55,0.056386160812885985,25
30,7,0.10292979190683678,5
29,8,,
28,5,0.13075843802458814,4
27,13,,
26,6,,
25,56,,
24,11,,
23,3,,
19,1,,
16,1,,
