Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,48,,
55,150,0.14923075718362025,142
54,71,0.1015739441131115,55
53,39,0.10124842788496839,31
52,25,0.07227756447061827,23
51,114,0.06951405465178861,112
50,87,1.4583969715974845,74
49,131,1.1496466436732329,123
48,153,0.6657842744221483,134
47,205,0.9434689177912277,190
46,180,0.5326156995237311,155
45,55,0.5899557246241364,39
44,1207,0.4151685854657782,1205
43,145,0.2554731968854695,7
42,612,0.22756915810458322,608
41,71,1.0140425499999999,4
39,4,0.16634356855103474,3
38,1,,
37,6,0.1605812236971077,4
36,29,,
35,3,,
34,12,,
33,17,1.971467805267194,16
32,12,0.8999306569949811,10
31,53,0.8370615440041296,24
30,8,0.9899607570307019,5
29,9,,
28,4,,
27,12,,
26,7,2.216990913206703,6
25,64,,
24,3,,
23,3,,
19,1,,
16,1,,
