Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,53,0.3755359614506771,52
55,141,0.09579787982866515,137
54,80,0.09271843010011119,59
53,34,0.0748553952350253,30
52,28,0.10357284887843451,25
51,115,,
50,84,0.29361627885818536,74
49,139,0.11672527211517945,131
48,147,0.07456502126693666,136
47,199,0.05608049971555436,186
46,180,0.05519926720082512,151
45,58,0.04997210661551169,38
44,1220,0.04235048069544031,1217
43,137,0.03539035327281712,11
42,602,,
41,77,0.08094929957499478,4
40,1,,
39,3,,
38,1,,
37,5,0.06341286857757607,3
36,30,,
35,3,,
34,11,,
33,15,0.09455411961778387,13
32,15,0.0624849392415469,10
31,51,0.09647996100251426,22
30,10,0.06893390585747244,5
29,8,,
28,5,0.18163218701506934,4
27,10,,
26,8,0.17350064845340638,5
25,59,0.171237932312673,58
24,9,,
23,2,,
22,1,,
19,1,,
16,1,,
