Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,50,0.420597265255135,48
55,149,0.1384201674493475,141
54,75,0.07449369536637603,58
53,35,0.08577812859518785,30
52,28,0.1469342447759889,25
51,114,,
50,83,0.22760217741209252,72
49,133,0.13133702256215538,123
48,148,0.07591123597189217,129
47,216,0.08611049315662335,196
46,179,0.04922412642127721,160
45,46,0.0733738355494504,35
44,1230,0.04234291122529455,1224
43,129,0.038798362757037214,10
42,599,0.039003772652106194,598
41,81,0.0950203141241183,4
40,1,,
39,3,,
38,1,,
37,6,0.14899469394561207,4
36,29,,
35,3,,
34,10,,
33,18,0.08854129270895134,15
32,12,0.22661549760412156,9
31,55,0.10003542047708365,25
30,6,0.15157035570623667,4
29,9,0.11107403075097205,8
28,3,0.018268726552972125,2
27,13,0.08721163241062278,11
26,7,0.27839499097671006,5
25,58,0.17296881657348143,57
24,10,,
23,3,,
19,1,,
16,1,,
