Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,52,,
55,150,0.02788490698630137,146
54,71,0.011856950271186434,59
53,34,0.009116056276666663,30
52,26,0.006556724173913042,23
51,115,0.005828739878761061,113
50,82,0.4922445273285714,70
49,141,0.15137934513178297,129
48,149,0.06546944820588235,136
47,205,0.10963943731770834,192
46,179,0.008650084615384615,156
45,50,0.044023430285714295,35
44,1198,0.009731029542785236,1192
43,161,0.005815696100000008,10
42,613,0.0014508319689542474,612
41,67,0.07183215500000004,4
40,1,,
39,3,,
38,1,,
37,6,0.0018333292499999893,4
36,29,,
35,3,,
34,13,,
33,15,,
32,12,0.013359177555555567,9
31,55,0.06473717559999997,25
30,7,0.07500539999999994,5
29,9,,
28,4,,
27,11,,
26,8,0.33600999983333324,6
25,56,,
24,11,,
23,2,,
22,1,,
19,1,,
16,1,,
