Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,51,0.15693942484,50
55,147,0.06506414394042553,141
54,71,0.061381496066666666,54
53,36,0.03028508314666666,27
52,27,0.02657368730285714,21
51,116,0.024862344581785715,112
50,91,1.07277928716,78
49,141,0.3786766705871533,137
48,136,0.24138894247761833,131
47,213,0.18578253318785642,195
46,176,0.06310225909564103,156
45,52,0.04862315737599999,37
44,1216,0.0628730187360858,1212
43,140,0.07238110095911111,9
42,602,0.029655295556346665,600
41,78,0.03648695199999988,3
40,2,0.15611432620000001,1
39,3,,
38,1,,
37,5,0.06495627705333333,3
36,30,,
35,2,,
34,14,0.13656320212307696,13
33,16,,
32,10,0.35315335858499997,8
31,54,0.15570882727478272,23
30,9,0.3750572330751999,5
29,7,,
28,6,0.3399449249999999,4
27,10,,
26,9,1.3909774440666667,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
