Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,48,,
55,141,0.3554703816240602,133
54,84,0.44087392138246334,59
53,32,0.4641680262179821,28
52,29,0.45084500005020106,24
51,118,0.46122582973895926,117
50,83,0.9839698146971759,75
49,136,0.34980759761228364,129
48,152,0.3110014269144695,139
47,203,0.25810090440284433,193
46,173,0.2464553678658318,151
45,57,0.2876812366365425,37
44,1210,0.1622135923573391,1206
43,147,0.3038318008767792,10
42,603,0.1999982956098686,602
41,76,0.4312323008928802,3
40,1,,
39,4,0.4400383693037873,3
38,1,,
37,6,0.23078914241076826,4
36,29,,
35,3,,
34,12,,
33,17,0.49483500511878076,16
32,11,0.2943207319045778,9
31,56,0.3572807378426833,26
30,5,0.17354025141657314,4
29,8,0.25886331935353096,7
28,6,0.57916385113174,4
27,12,,
26,7,0.6285262081439766,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
