Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,53,,
55,146,0.06578063701689299,143
54,75,0.03651899475680006,60
53,34,0.037260342164792175,31
52,24,0.032107056211782226,22
51,117,0.020663199152256145,114
50,86,0.5489897512432158,75
49,132,0.1272295982068966,125
48,155,0.060261651804872585,138
47,205,0.07557275615217042,194
46,171,0.031522271761633684,150
45,59,0.07544030579512448,38
44,1204,0.02179507271610515,1201
43,153,0.026993474830386447,11
42,603,,
41,76,0.08356369485158543,4
40,1,,
39,3,,
38,1,,
37,6,0.020061897896336837,4
36,29,,
35,3,,
34,11,,
33,18,0.08801003438606238,16
32,10,0.03563835776067387,8
31,56,0.0572936111554679,25
30,7,0.10755878231830722,5
29,7,,
28,4,0.10151095119322304,2
27,15,0.09470378662701903,13
26,5,,
25,58,0.0861064073050673,57
24,10,,
23,3,,
19,1,,
16,1,,
