Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,54,,
55,151,0.5813844303235899,149
54,66,0.5587702702987606,57
53,36,0.5791520930490303,30
52,27,0.590214147838238,24
51,108,0.5654022594739009,107
50,81,0.7998587575587014,63
49,149,0.4600038640752745,130
48,142,0.4680686933206365,130
47,214,0.4549002341578125,195
46,179,0.4553908052154839,159
45,44,0.48967709544549193,32
44,1228,0.4497278445484109,1219
43,133,0.3961436518543975,9
42,604,0.4368909333198041,602
41,77,0.2571009524363242,4
40,1,,
39,3,,
38,1,,
37,7,0.2529759038465588,5
36,28,,
35,2,,
34,13,0.42809538989827567,12
33,15,0.5117004446444431,14
32,13,0.3017153931384069,9
31,53,0.31470849431563097,23
30,9,0.3536063148832434,5
29,9,,
28,4,,
27,11,,
26,7,0.5210496883752637,5
25,56,0.3217334541798496,55
24,12,,
23,3,,
19,1,,
16,1,,
