Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,50,,
55,152,0.5820998781391358,146
54,72,0.5634437955939783,60
53,34,0.5733541931147876,31
52,23,0.5803515895064622,21
51,120,0.5646698596511999,116
50,80,0.7857793485221616,71
49,141,0.43009818407128775,130
48,140,0.45357381721943035,128
47,209,0.45198820050671246,188
46,178,0.44639714435596317,151
45,57,0.46236494767918085,37
44,1208,0.4535880854115664,1204
43,150,0.41497641146312036,11
42,609,,
41,70,0.27549751679327367,4
40,1,,
39,3,,
38,1,,
37,6,0.2562484155630874,4
36,29,,
35,3,,
34,10,,
33,17,0.5301499173532003,14
32,13,0.22943855135794364,9
31,55,0.29132941840338733,25
30,7,0.31953322829004066,5
29,8,,
28,4,0.3646158914179812,3
27,13,0.3575313855441527,12
26,7,0.5029573377807547,6
25,63,,
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
