Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,53,0.5708023876216585,52
55,144,0.15958208778977795,140
54,76,0.06564889496002156,58
53,36,0.08892206461092807,31
52,24,0.14856323768067214,22
51,112,0.06058339625817767,109
50,88,0.2955915390663992,72
49,138,0.11057411710396195,128
48,142,0.06517143984598837,128
47,208,0.0774398795357442,187
46,186,0.04246252131748836,158
45,50,0.059225307967265314,37
44,1234,0.05076741384545189,1230
43,123,0.04794916549526891,10
42,599,0.024480805271029655,598
41,81,0.03854891256140164,4
40,1,,
39,3,,
38,1,,
37,6,0.12299622391553001,4
36,29,,
35,3,,
34,10,,
33,18,0.1040856901433646,15
32,13,0.153673686509562,10
31,53,0.10768419133298525,24
30,8,0.12837756349882345,5
29,7,,
28,6,0.0403071449411024,4
27,13,,
26,4,,
25,58,0.17004834279113046,56
24,11,,
23,3,,
19,1,,
16,1,,
