Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,52,,
55,145,0.22095618371678014,141
54,74,0.16242723404154077,57
53,37,0.21434817870790182,31
52,26,0.14189504740344203,24
51,114,0.2537433013153539,113
50,86,0.5886470558696132,74
49,132,0.2674630949871764,124
48,149,0.17288607742754772,131
47,208,0.22456921701187546,190
46,179,0.11341676394691097,154
45,53,0.17414167591550256,36
44,1214,0.1018585519902455,1209
43,145,0.12194680611535051,11
42,599,,
41,80,0.23715001862836743,4
40,1,,
39,3,,
38,1,,
37,7,0.3288252511778546,5
36,28,,
35,3,,
34,13,,
33,14,,
32,14,0.25391326699726946,10
31,54,0.10911992350166011,25
30,6,0.10827055940716457,4
29,10,0.21212480065938832,9
28,4,,
27,12,,
26,7,0.1031427496693304,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
