Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,53,0.14676493138461538,52
55,148,0.1481344166408046,144
54,73,0.10007707434426015,59
53,35,0.10167425541060306,31
52,26,0.07382302830538628,24
51,119,0.06892734381740938,118
50,78,1.5352265753761207,71
49,135,0.9768846611140382,124
48,154,0.6304772549354476,136
47,208,0.9462990984085721,195
46,173,0.5108157953325498,153
45,55,0.5816535998858031,37
44,1199,0.40483757083692595,1195
43,159,0.3237197810031954,11
42,607,,
41,72,1.0140425499999999,4
40,1,,
39,3,,
38,1,,
37,7,0.15168906512411737,5
36,28,,
35,2,,
34,10,0.21486458591310795,9
33,19,2.034146388505325,15
32,11,1.0725771445881678,8
31,56,0.860075909271218,25
30,7,0.9889933795301147,5
29,9,,
28,3,,
27,14,0.6440132663407142,13
26,5,,
25,60,1.24898287848872,59
24,8,,
23,3,,
19,1,,
16,1,,
