Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,52,,
55,144,2.525088273395783e-15,140
54,76,0.0030434686034522436,58
53,36,0.001487840912904517,31
52,26,0.0010874146167976827,24
51,111,0.04953330769451578,110
50,92,4125497.4039036487,77
49,130,8.107516469981352,125
48,151,0.9942932622765578,134
47,210,6.003692124012478,195
46,172,76.8394287413532,152
45,57,23.591616185076596,38
44,1207,0.6777431197959966,1204
43,149,0.6416361207033602,10
42,601,1.067193620586957,600
41,79,2.3987585479061337,4
40,1,,
39,3,,
38,1,,
37,7,0.39328593977859033,5
36,28,,
35,3,,
34,12,,
33,15,1.5694703725682706,14
32,13,1.293034307265534,9
31,56,2.062535415865835,26
30,6,2.3570291740531757,5
29,9,,
28,4,,
27,13,,
26,6,,
25,59,,
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
