Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,47,,
55,154,0.5871171047742969,145
54,67,0.5608047461594468,54
53,39,0.5759604249203012,30
52,24,0.584656159515684,21
51,118,0.5672059618461046,114
50,86,0.7892289345241557,75
49,138,0.44984330434272973,131
48,143,0.44892612266826903,132
47,208,0.44956346019859966,191
46,181,0.4616995621916011,157
45,48,0.488215605830997,34
44,1218,0.4605893525957292,1211
43,142,0.4215910112412139,10
42,603,0.446213289183295,602
41,77,0.26109810562630403,4
40,1,,
39,2,,
38,2,0.3625801830503464,1
37,6,0.27101432248402196,4
36,29,,
35,3,,
34,10,,
33,18,0.4982929001705553,15
32,13,0.2895038086691701,10
31,54,0.31167595154981703,25
30,7,0.3375486415307162,5
29,9,,
28,4,,
27,12,,
26,6,0.5547264984158831,5
25,60,0.3689015918056244,59
24,8,,
23,3,,
19,1,,
16,1,,
