Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,48,,
55,147,0.24203006349141412,139
54,80,0.2344700686962407,61
53,31,0.2789131642562238,29
52,27,0.27709491913591716,23
51,108,0.14964021523899676,106
50,92,0.3337638806514433,73
49,130,0.26845049692544726,121
48,158,0.19479249899157824,137
47,206,0.16794768187577147,194
46,176,0.11510794756535866,155
45,56,0.15771062047993817,40
44,1211,0.09235981453558045,1210
43,144,0.13348040355915322,11
42,606,,
41,73,0.20121725972985294,4
40,1,,
39,2,,
38,2,0.12838512434335514,1
37,7,0.2175941388895733,5
36,28,,
35,2,,
34,13,0.1271017508955072,12
33,16,0.33258993151036725,15
32,11,0.46603076988363573,8
31,57,0.14674554816426552,26
30,6,0.16310940306947577,5
29,8,,
28,4,0.25602767077166855,3
27,14,0.17870370089499618,13
26,6,,
25,61,,
24,6,,
23,1,,
22,2,,
19,1,,
16,1,,
