Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,53,,
55,145,0.14376578273860108,142
54,73,0.09761482930847225,57
53,38,0.099536731715024,32
52,24,0.07043942834863022,23
51,111,0.06831155337345426,109
50,90,1.4767067495240866,74
49,138,1.1009594396990543,130
48,146,0.6306575485756631,134
47,206,0.9457024880760737,191
46,184,0.5182349525146404,160
45,45,0.5847509137433426,34
44,1205,0.4136234260293092,1198
43,155,0.33793705231681026,10
42,607,0.22634964905357063,606
41,73,1.0140425499999999,4
40,1,,
39,2,,
38,2,0.26721822927163724,1
37,6,0.18888473958360105,4
36,29,,
35,3,,
34,13,,
33,14,,
32,12,0.4091632695511565,8
31,56,0.8065403869308393,25
30,7,0.9889466601508953,5
29,9,,
28,4,,
27,12,,
26,6,2.6136040529078572,5
25,62,1.312604886008077,61
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
