Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,50,0.10835845795918367,49
55,148,0.35840852139007096,141
54,72,0.47150046532732287,55
53,39,0.5012813741548523,31
52,23,0.47043151201820615,21
51,115,0.49278708406398875,111
50,93,1.0509030307886504,79
49,133,0.38397350367547156,130
48,150,0.3253951099411576,138
47,208,0.3412488391237656,197
46,173,0.3372994669549887,155
45,53,0.3629350600038426,37
44,1196,0.2662223299842854,1192
43,162,0.30423216650411744,11
42,606,,
41,73,0.30925714768954593,4
40,1,,
39,2,,
38,2,0.15284622350481414,1
37,7,0.075602578273256,5
36,28,,
35,3,,
34,12,,
33,15,0.42517422272676864,14
32,12,0.22654882664419962,8
31,54,0.2404343971960176,23
30,9,0.2847991288437785,5
29,8,,
28,5,0.4343939937547555,4
27,13,,
26,5,,
25,64,0.27164234644868046,63
24,4,,
23,3,,
19,1,,
16,1,,
