Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,50,,
55,149,129.65649361626438,143
54,72,344.4359206526065,57
53,38,152.80712774761895,32
52,22,419.70147445330053,21
51,112,404.0604721052849,108
50,89,1369500628.0704074,72
49,136,1872.103115812654,126
48,148,7394547.387709126,132
47,216,162730586.15575394,199
46,166,104610570.18418393,150
45,59,79139440.85645323,38
44,1197,81789702.15954171,1194
43,158,900787411.139429,9
42,622,152933506.15393594,620
41,58,162283626.5838923,3
40,2,,
39.0,3.0,,
38.0,1.0,,
37,7,236725177.5896317,2
36.0,28.0,,
35,3,1775656.97390396,1
34,13,14026458.662140973,4
33,16,33959492.78297995,11
32,11,33096943.089049842,3
31,54,111757845.67897639,41
30,8,,
29,9,,
28,4,,
27,13,72492353.99100621,1
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
