Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,52,,
55,143,0.5270986259115594,139
54,78,0.46659917982854315,59
53,33,0.2735123212211012,29
52,24,3.1995656533642345,20
51,115,0.9430478103730184,110
50,96,0.9562328210292244,23
49,143,4.178845020696732,3
48,148,0.7814762590320157,13
47,216,,
46,171,24.158920432361825,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,13,0.36259606822538054,4
33,16,0.7488642336781763,1
32,12,0.6817060451019634,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
