Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,52,2.0107652424591387,51
55,143,0.5018608404925464,138
54,76,0.47959602222492764,56
53,35,0.2485649366309037,28
52,29,2.739818213673891,24
51,114,0.9538154057620927,113
50,92,0.9404083364457106,22
49,144,3.5866292036799305,3
48,148,1.1357247897680272,13
47,216,,
46,171,24.08839795559541,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,13,0.26901433594516544,4
33,16,0.6905359844753381,1
32,12,0.6094444512550733,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
