Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,54,,
55,145,0.4823186009090909,143
54,72,0.3695116463157895,57
53,33,0.2264901698888889,27
52,29,2.717097715652174,23
51,109,1.1140074634579438,107
50,97,1.9148372042857142,21
49,145,0.6152454033333336,3
48,149,0.5562826250000001,14
47,215,,
46,171,43.472493,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.0050807200000000385,1
37,7,,
36,25,,
35,6,,
34,13,0.06619152249999996,4
33,16,0.20923371000000013,1
32,12,0.8545786942857142,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
