Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,52,2.896142246862745,51
55,146,5.541685916170213,141
54,75,5.474483691896552,58
53,36,5.807927816838709,31
52,25,7.944074203543479,23
51,113,4.359962601100321,111
50,93,3.9460411083951175,21
49,145,7.747479529488975,3
48,146,4.807195037725499,11
47,218,,
46,171,24.100271313282875,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,13,6.2173778504067485,4
33,16,3.225056244379868,1
32,10,5.768547736110726,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
