Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,52,1.7201925453074838,51
55,145,0.6443497377362802,140
54,74,0.4378939707777826,56
53,35,0.32697987715312915,28
52,27,2.9484150974524037,22
51,120,0.9118037620827815,117
50,90,0.9477841106951415,24
49,142,3.6941062139359255,3
48,147,1.2102535398121375,12
47,217,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,13,0.3943284629219542,4
33,16,0.6515700545576908,1
32,9,0.3034627186306864,4
31,59,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
