Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,52,,
55,147,5.593566682797202,143
54,73,5.497177974999999,58
53,35,5.8176910332333325,30
52,26,7.884756286152174,23
51,113,4.349326985467549,111
50,93,3.9043816564544027,21
49,145,7.746047610436095,3
48,147,4.746127861620627,12
47,217,,
46,171,22.8853744311752,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,4.403413377513377,3
38,1,,
37,6,,
36,24,6.491193454206815,23
35,8,,
34,13,6.1557699068561025,4
33,16,1.9296591960426743,1
32,11,5.601202997253184,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
