Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,2.545411141843697,49
55,149,1.4089583820293732,142
54,73,1.5398625012077947,57
53,36,0.8529601118686366,30
52,26,1.247108051183797,23
51,112,1.9185837508437287,110
50,96,3.1964196575892627,23
49,143,15.158009479586921,3
48,149,11.273017441479583,14
47,215,,
46,171,90.1334586590983,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,14.538909126445457,25
35,6,,
34,13,6.03813672532706,4
33,16,3.5603680219668936,1
32,11,4.263979718101531,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
