Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,2.5218361654455244,49
55,149,2.036321417083562,142
54,73,5.584215630536581,57
53,34,0.912562229380232,28
52,28,3.0264910801002,23
51,117,9.185510329369972,115
50,89,4.041639289095813,21
49,145,76.5741768773739,3
48,147,16.430856609010284,12
47,217,,
46,171,60268.25883838157,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,13,112607.07234058512,4
33,16,112095.99999052327,1
32,10,642655.5438772568,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
