Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,51,2.4567403884,50
55,149,1.6461297458846158,143
54,75,1.2931201686267828,60
53,34,1.1193156003623645,31
52,26,3.9446077871632306,24
51,107,2.2191690869447984,106
50,97,2.081826200024609,20
49,146,1.8769817070214159,3
48,148,1.6086369717130424,13
47,216,,
46,171,62.21036942129179,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,28,14.580234275672034,27
35,4,,
34,12,2.2447890155929997,3
33,17,1.645521714219482,1
32,11,2.0798962928977214,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
