Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,3.1025203746938774,49
55,148,5.582998730921985,141
54,76,5.489597286525423,59
53,34,5.7443571118999985,30
52,24,8.350612862785715,21
51,121,4.256032809630304,117
50,83,3.8246220371064554,17
49,148,7.937816485321521,2
48,150,4.67010868210789,14
47,215,,
46,171,23.426320771196657,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,7.580644994001862,26
35,5,,
34,13,6.211870638297191,4
33,16,2.096798171991181,1
32,11,5.733403956671764,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
