Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,49,,
55,147,1.6933120590428572,140
54,75,0.937522677691228,57
53,38,0.62881467219375,32
52,24,3.4644034011408698,23
51,115,1.5641163046874336,113
50,89,1.6471278790021053,19
49,147,0.7249978688,3
48,148,1.4753271332246156,13
47,216,,
46,171,56.02606908,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,13,0.43171184164752,4
33,16,0.49247941399999995,1
32,11,2.1437750319220266,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
