Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,55,,
55,145,1.2151910037238087,144
54,74,0.9235515287358919,60
53,29,0.694088715632721,26
52,29,3.022022944868573,22
51,113,0.8509522489866614,110
50,93,0.5100116043709255,20
49,146,1.167873811759728,3
48,146,0.6309833062056184,11
47,218,,
46,171,36.14043955251848,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,12,0.7687246457054554,3
33,17,1.103614513540118,1
32,10,1.100828357158739,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
