Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,51,3.193019987,50
55,149,5.574022456573426,143
54,75,5.471906352833332,60
53,34,5.69464926264516,31
52,22,8.31846601985,20
51,118,6.125841069667576,113
50,91,5.811316443067979,21
49,144,9.256241872330282,2
48,146,6.218819848880433,10
47,219,,
46,171,32.59722748836496,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,6,5.989889819214136,5
36,30,8.97168126907551,28
35,3,,
34,13,5.39758253966689,4
33,16,2.607960817083246,1
32,11,5.851872738619836,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
