Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,,
55,153,1.2698211217414967,147
54,67,0.8278770442071428,56
53,38,0.6366859346645162,31
52,21,3.8550131795368423,19
51,116,1.68795291576,110
50,94,1.6564128708571428,21
49,145,0.72936729304,3
48,148,1.3963054716627696,13
47,216,,
46,171,58.111240865599996,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,1.0887853143191772,7
36,26,,
35,5,,
34,13,0.6296864055291521,4
33,16,0.4393571023999998,1
32,10,2.239708252622336,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
