Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,51,,
55,150,0.411843803590479,145
54,71,4.2165162553822855,58
53,34,0.7018505878449776,29
52,26,1.274747217589758,22
51,115,0.8121615565828277,112
50,91,2.464341700532284,20
49,146,4.158748277923211,3
48,146,11.457333481310167,11
47,218,,
46,171,25.991139081974822,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,39.54287663272238,3
38,1,,
37,6,,
36,25,49.352468494428734,24
35,7,,
34,13,34.1400202979178,4
33,16,5.070162391366707,1
32,12,10.851899517603105,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
