Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,53,5.242593583377748,52
55,147,2.17394632095867,143
54,75,2.926899312214204,60
53,34,2.7850943022900023,31
52,23,4.845981852889544,21
51,116,2.465730333811172,112
50,93,1.7120475972143054,22
49,142,1.6379913580676633,1
48,150,1.8978744180103986,13
47,216,,
46,171,34.56290401068084,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.29075003169807767,1
37,5,,
36,26,4.576428321986456,24
35,7,,
34,13,1.2580341011103526,4
33,15,,
32,12,4.5593840693391305,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
