Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,53,3.001780041764706,51
55,147,5.51219530528169,142
54,71,5.447890190272727,55
53,38,5.761291990233333,30
52,25,7.962577625909091,22
51,114,5.592075014547588,111
50,94,5.3925365470596756,22
49,143,8.61785429090305,2
48,148,5.935144631170607,12
47,217,,
46,171,34.93589834519115,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,4.839134917646481,4
33,16,1.2428707876485972,1
32,12,5.56091424399331,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
