Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,48,1.7044140541304347,46
55,161,0.6286060729801324,151
54,64,0.5438193064912281,57
53,35,0.3635288547241379,29
52,28,2.6087578958333335,24
51,109,1.101459613611111,108
50,96,2.1296508338095235,21
49,142,,
48,152,0.46437175785714263,14
47,215,,
46,171,55.9174801,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,13,0.09206634000000002,4
33,16,0.07447329999999996,1
32,12,0.4106161428571427,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
