Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,5.265571743778779,49
55,152,1.3152786852911449,145
54,71,0.8774478993985079,58
53,36,1.2928564099018909,31
52,26,2.6211471697404876,24
51,112,0.9179388231971737,111
50,95,0.9808975025361201,23
49,143,0.8724186337243661,3
48,148,0.6001067227547898,13
47,216,,
46,171,28.476258797661764,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,3,2.1632458603988045,2
38,2,0.7954185605063084,1
37,7,,
36,21,,
35,10,,
34,12,0.44337644653027847,3
33,17,0.08990584480888475,1
32,11,1.7947100276930381,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
