Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,2.031051672735856,49
55,153,0.513807079099678,146
54,68,0.47836520201784766,56
53,36,0.23829932761806114,29
52,28,2.741563646349459,24
51,115,0.9514991152126916,114
50,90,0.9966338316703129,21
49,145,3.724456061379714,3
48,147,1.003263846012466,12
47,217,,
46,171,23.84234441250632,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,3,1.316286416570747,2
38,1,,
37,8,0.6852635182249034,7
36,26,,
35,5,,
34,13,0.23159831513884493,4
33,15,,
32,11,0.4418202017453417,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
