Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,51,,
55,146,5.544839948156028,141
54,72,5.472565694999999,55
53,38,5.742367872899999,30
52,27,7.8600398172083334,24
51,114,6.102446692085853,113
50,91,5.857253905458079,21
49,144,7.932092651600892,2
48,150,6.290772269407373,14
47,215,,
46,171,32.513575786897015,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,3.670157107511023,1
37,6,,
36,26,9.374709985915388,25
35,6,,
34,13,5.263509405086904,4
33,16,1.6276082412212862,1
32,11,5.894025744617857,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
