Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,49,2.0215961009574466,47
55,149,1.491429023971698,140
54,74,1.307249621295335,56
53,38,1.0162112300819188,31
52,25,4.078825898121321,23
51,117,2.5283084792020407,115
50,90,2.1522240466763276,22
49,144,1.9270643732622275,3
48,148,1.755877122247018,13
47,216,,
46,171,62.15642539276867,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,15.0673442620076,26
35,5,,
34,13,2.302965310609263,4
33,16,1.6985516968596543,1
32,12,2.1364968479006277,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
