Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,48,7.424612518166601,46
55,155,3.287223698400161,145
54,72,2.330092174269428,59
53,37,2.707557412232092,33
52,22,,
51,113,1.5470737340088747,110
50,94,2.028022257311205,21
49,144,3.1308752703537843,2
48,150,1.9687378608552313,14
47,215,,
46,171,27.86735687813394,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,7.322086408865413,25
35,6,,
34,12,3.8860293236437156,3
33,17,0.5830503012271882,1
32,12,4.581542281181496,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
