Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,,
55,145,5.620226045755395,139
54,77,5.566044527586206,58
53,37,5.690713851249999,32
52,22,8.197734324285713,21
51,116,4.421301934122537,112
50,93,3.8080330680875023,22
49,144,7.76167674586933,3
48,148,4.268732890181811,13
47,216,,
46,171,23.96158342851328,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,7,5.246510722225444,6
36,28,6.997084653144667,27
35,4,,
34,13,6.060273442473626,4
33,16,3.2896947486831287,1
32,11,5.760981190375168,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
