Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,,
55,145,2.7179932035578585,139
54,74,2.907021117565358,55
53,40,1.8563567570480404,32
52,23,5.479849557282636,22
51,118,2.551675272130907,115
50,91,1.8173268480363616,23
49,143,3.366585714884001,3
48,148,1.8249900810585933,13
47,216,,
46,171,31.89870846500169,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,21,,
35,10,,
34,13,5.005473692372705,4
33,16,2.176473260459746,1
32,12,3.621953381235067,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
