Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,49,,
55,152,0.24352525897499733,145
54,70,1.6045982530270655,57
53,35,0.31413829127845627,29
52,29,0.9927751640132496,25
51,113,,
50,93,1.4543387285091383,23
49,142,5.447824416820186,2
48,147,3.3891901502322765,11
47,218,,
46,171,159.3279966582097,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,37.09218251153313,3
37,6,36.96989694767967,5
36,27,114.81323918030405,25
35,6,,
34,12,77.16785632044369,3
33,16,,
32,13,49.222437123350964,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
