Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,1.866031108244898,49
55,147,1.4746036486724674,140
54,77,1.2006274396079848,59
53,35,1.0451937663460744,31
52,25,3.997849936679063,23
51,114,2.525558117420738,112
50,94,1.992748962901055,23
49,143,1.885225208921728,3
48,149,1.7019425418193959,14
47,215,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,13.282956666174346,25
35,6,,
34,12,2.1412113858464337,3
33,17,1.5883056632711388,1
32,10,1.2673651294589863,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
