Algorithm,Column,MinError,FileCount
MLPLBREG,P_MASS,109.90677276438622,1
MLPLBREG,P_RADIUS,0.1092588913162093,1
MLPLBREG,P_GRAVITY,0.8842103959068086,5
MLPLBREG,P_DENSITY,0.5684792781530384,3
MLPLBREG,P_ESI,0.0189871907314134,4
MLPLBREG,P_RADIUS_EST,0.2255310137331249,4
MLPLBREG,P_MASS_EST,69.52097312595559,1
MLPLBREG,P_SEMI_MAJOR_AXIS_EST,0.0320349629706746,1
MLPLBREG,P_ESCAPE,0.2827134157286957,2
MLPLBREG,P_POTENTIAL,2.5296523226107714,4
MLPLBREG,P_HILL_SPHERE,0.0138807841691687,2
MLPLBREG,P_DISTANCE_EFF,0.032517603174539,4
MLPLBREG,P_PERIOD,34.59883494474074,3
MLPLBREG,P_SEMI_MAJOR_AXIS,0.0376769828241728,4
MLPLBREG,P_ECCENTRICITY,0.1046312648197343,2
MLPLBREG,P_INCLINATION,2.0288068777089623,1
MLPLBREG,P_OMEGA,121.01432089488038,3
MLPLBREG,P_TPERI,3990.944808771523,2
MLPLBREG,P_ANGULAR_DISTANCE,4.88227314569587,2
MLPLBREG,P_IMPACT_PARAMETER,0.205981547845078,4
MLPLBREG,P_DISTANCE,0.0346417682493752,2
MLPLBREG,P_PERIASTRON,0.0420414138079806,1
MLPLBREG,P_APASTRON,0.0433628060793723,4
MLPLBREG,P_FLUX,56.32774294141092,3
MLPLBREG,P_TEMP_EQUIL,37.446283508944965,3
MLPLBREG,S_TEMPERATURE,57.42671501257512,2
MLPLBREG,S_MASS,0.0381973299432376,4
MLPLBREG,S_RADIUS,0.0316227588085665,1
MLPLBREG,S_AGE,0.3074243666378666,5
MLPLBREG,S_LOG_G,0.0328006280090329,5
MLPLBREG,S_RADIUS_EST,0.0678397951935408,1
MLPLBREG,S_DISTANCE,120.38463973827768,4
MLPLBREG,S_MAG,0.7114513940115165,3
MLPLBREG,S_METALLICITY,0.0987217195068765,4
MLPLBREG,S_LUMINOSITY,0.0840931418085188,2
MLPLBREG,S_HZ_OPT_MIN,0.0138194619374621,5
MLPLBREG,S_HZ_OPT_MAX,0.0349754034826859,1
MLPLBREG,S_HZ_CON_MIN,0.017710586512091,2
MLPLBREG,S_HZ_CON_MAX,0.03081338745452,4
MLPLBREG,S_HZ_CON0_MIN,0.019838091563189,2
MLPLBREG,S_HZ_CON0_MAX,0.0301480445975458,5
MLPLBREG,S_HZ_CON1_MIN,0.0179605139867337,5
MLPLBREG,S_HZ_CON1_MAX,0.0347162094193865,5
MLPLBREG,S_SNOW_LINE,0.0502182962528952,2
MLPLBREG,S_ABIO_ZONE,0.2169492369603434,1
MLPLBREG,S_TIDAL_LOCK,0.011719180112005,2
