Iteration,SampleCount,S_MAG,S_MAG_Weight
56,51,2.2275859582767774,48
55,145,2.24923510954361,133
54,80,16.335914174960582,49
53,33,2.377937255980544,24
52,26,12.72589356607398,14
51,113,3.918665559425169,112
50,82,455638510.68363965,57
49,136,133.1546955719767,123
48,147,1.63544369648547,125
47,216,1.5540895140295117,193
46,172,1.2049510854010699,152
45,53,3.2819802375424705,33
44,1227,4.281020686455773,1220
43,132,2.1743840791197684,9
42,611,3.9366374506842914,609
41,69,1.9991803343370176,3
40,2,1.4204494495805111,1
39.0,3.0,,
38.0,1.0,,
37,5,,
36,29,4.374670067471172,27
35,4,2.6681969663328915,3
34,13,,
33,16,3.0452977341614034,15
32,12,,
31,51,3.0796589633776343,49
30,10,2.6522190390376914,4
29,9,,
28,3,3.1148538519061795,1
27,12,0.35431035192528854,6
26,8,2.90978131396062,1
25,66,2.914954471293776,18
24.0,1.0,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
