Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,50,,
55,154,8.394016056558642e-13,148
54,68,0.004993429234041539,58
53,38,0.012162981148986386,33
52,21,,
51,113,0.10207226611476296,109
50,89,0.05938027627051391,73
49,136,0.2532759671364163,127
48,151,0.566185671929496,136
47,211,0.9014860177149213,198
46,169,0.5397331687614156,152
45,54,0.5995478171091367,35
44,1223,0.7550439272648612,1217
43,136,0.26918168475469145,10
42,592,0.11648893120351249,591
41,86,1.023546874936314,2
40,3,0.17624234132727037,1
39.0,3.0,,
38.0,1.0,,
37,6,0.3073371542915492,4
36,29,,
35,3,,
34,8,,
33,20,2.2145008578365126,15
32,13,0.9480571054768865,10
31,54,0.9449002524962234,25
30,6,1.4150371458434465,4
29,10,0.4924955572591463,9
28,4,,
27,10,,
26,9,2.1749179965234613,6
25,60,,
24,7,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
